1,child,1,"Given the family relationships:\n* Ralph is Anthony's parent.\n* Albert is Ralph's parent.\nWhat is Anthony's relationship to Ralph?\nSelect the correct answer:\n1. Anthony is Ralph's child.\n2. Anthony is Ralph's parent.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,2,"Given the family relationships:\n* Jessica is John's parent.\n* John is Lawrence's parent.\nWhat is Lawrence's relationship to John?\nSelect the correct answer:\n1. Lawrence is John's parent.\n2. Lawrence is John's child.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,2,"Given the family relationships:\n* Raymond is William's parent.\n* Denise is Raymond's parent.\nWhat is William's relationship to Raymond?\nSelect the correct answer:\n1. William is Raymond's parent.\n2. William is Raymond's child.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,2,"Given the family relationships:\n* Samantha is Elijah's parent.\n* Elijah is Joshua's parent.\nWhat is Joshua's relationship to Elijah?\nSelect the correct answer:\n1. Joshua is Elijah's parent.\n2. Joshua is Elijah's child.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,2,"Given the family relationships:\n* Anna is Charlotte's parent.\n* Marie is Anna's parent.\nWhat is Charlotte's relationship to Anna?\nSelect the correct answer:\n1. Charlotte is Anna's parent.\n2. Charlotte is Anna's child.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,1,"Given the family relationships:\n* Wayne is Jean's parent.\n* Marilyn is Wayne's parent.\nWhat is Jean's relationship to Wayne?\nSelect the correct answer:\n1. Jean is Wayne's child.\n2. Jean is Wayne's parent.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,1,"Given the family relationships:\n* Arthur is Stephanie's parent.\n* Stephanie is Ashley's parent.\nWhat is Ashley's relationship to Stephanie?\nSelect the correct answer:\n1. Ashley is Stephanie's child.\n2. Ashley is Stephanie's parent.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,2,"Given the family relationships:\n* Judith is Sophia's parent.\n* Benjamin is Judith's parent.\nWhat is Sophia's relationship to Judith?\nSelect the correct answer:\n1. Sophia is Judith's parent.\n2. Sophia is Judith's child.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,1,"Given the family relationships:\n* Abigail is Kyle's parent.\n* Kyle is Russell's parent.\nWhat is Russell's relationship to Kyle?\nSelect the correct answer:\n1. Russell is Kyle's child.\n2. Russell is Kyle's parent.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,2,"Given the family relationships:\n* Pamela is Charles' parent.\n* Dorothy is Pamela's parent.\nWhat is Charles' relationship to Pamela?\nSelect the correct answer:\n1. Charles is Pamela's parent.\n2. Charles is Pamela's child.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,2,"Given the family relationships:\n* Isabella is Lisa's parent.\n* Lisa is Barbara's parent.\nWhat is Barbara's relationship to Lisa?\nSelect the correct answer:\n1. Barbara is Lisa's parent.\n2. Barbara is Lisa's child.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,2,"Given the family relationships:\n* Gloria is Nicole's parent.\n* Steven is Gloria's parent.\nWhat is Nicole's relationship to Gloria?\nSelect the correct answer:\n1. Nicole is Gloria's parent.\n2. Nicole is Gloria's child.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,1,"Given the family relationships:\n* Vincent is Sara's parent.\n* Jessica is Vincent's parent.\nWhat is Sara's relationship to Vincent?\nSelect the correct answer:\n1. Sara is Vincent's child.\n2. Sara is Vincent's parent.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
1,child,1,"Given the family relationships:\n* Andrea is Joe's parent.\n* Teresa is Andrea's parent.\nWhat is Joe's relationship to Andrea?\nSelect the correct answer:\n1. Joe is Andrea's child.\n2. Joe is Andrea's parent.\nEnclose the selected answer number in the <ANSWER> tag, for example: <ANSWER>1</ANSWER>."
